プラットフォーム等コード,プラットフォーム名等
JAE001,BATEEL
JAE002,ARVATO LOGISTICS FZCO
JAT001,PHIACADEMY GMBH
JAT002,ORIGINAL SACHER-TORTEN MANUFAKTUR
JAT003,WOLFORD
JAU001,BELLROY
JAU002,CORAVIN
JAU003,KORA ORGANICS
JAU004,MUTIMER 
JAU005,QUADLOCKCASE
JAU006,WILD 
JAU007,STEP ONE 
JAU008,FRESHWATER BRANDS
JAU009,BRONZE SNAKE 
JAU010,THAT'S SO FETCH 
JAU011,GLOBAL-E C/O CITY BEACH 
JAU012,ZIGGY ZAZA
JAU013,MESHKI PTY LTD
JAU014,BLACKMILK
JAU015,WHITE FOX BOUTIQUE
JAU016,SWEATS COLLECTIVE
JAU017,PRINCESS POLLY
JAU018,KSUBI
JAU019,RC MAKER
JAU020,INDIGO LUNA STORE
JAU021,CROP SHOP BOUTIQUE
JAU022,CENDRE
JAU023,AUSSIEBUM
JAU024,UNCLE RIC'S
JBD001,ENHANCE LTD
JBE001,ARTE ANTWERP
JBE002,DELDO
JBE003,PHANTOM LURE
JBR001,MN PROPOLIS
JCA001,WAREHOUSE GROUP
JCA002,DERMADRY LABORATORIES INC.
JCA003,DBRAND
JCA004,EVERLANE
JCA005,STACKMOD.COM
JCA006,JJJJOUND
JCA007,MEJURI INC
JCA008,BESTWELLSTEMCELL
JCA009,LES PRODUCTIONS DIME INC
JCA010,DURSTON GEAR
JCA011,ANNMS SHOP
JCA012,J.30000
JCA013,VITA-AGE NUTRITION
JCA014,HATCH COFFEE
JCA015,NAKED & FAMOUS DENIM
JCA016,SIMMOD LENS
JCA017,THE UNBRANDED BRAND
JCH001,CIOLINA
JCH002,BALLY
JCH003,LOEV
JCH004,CHARRIOL GENEVE
JCH005,ATELIER BASSI
JCH006,ON
JCN001,JLCPCB
JCN002,GCS TIMES
JCN003,NAKU
JCN004,ALIBABA.COM
JCN005,LICALASER
JCN006,YOOKSMART
JCN007,PCBWAY
JCN008,SNOWVERB
JCN009,TOBIDAIKO
JCN010,SHANGHAI KWEI RUNNING EC.CO.LTD
JCN011,SHENZHEN MOORECHIP TECHNOLOGIES LIMITED
JCN012,SEEED DEVELOPMENT LIMITED
JCN013,SONGTUO TRADING LIMITED
JCN014,AEROBAND
JCN015,JOYTOY
JCN016,VGNLAB.COM
JCN017,DIYVIVIAN.COM
JCN018,NANISURUDIY.COM
JCN019,ZYBERVR.COM
JCN020,BLUE MONTE
JCN021,ELECROW
JCN022,HELLOCIG
JCN023,LIKEWILLOW
JCN024,SEEED STUDIO
JCN025,YOELEOBIKE
JCN026,VEIMIA
JCN027,TNEKO
JCN028,TUNERC
JCN029,LALA
JCN030,EMMASCRIBE.COM
JCN031,LOVE ALLURE
JCN032,FLOWER KNOWS
JCN033,LOOKHEALTHYSTORE.COM
JCN034,ZYMDANCESTYLE.COM
JCN035,FALLOOK
JCN036,INFFTRU
JCN037,SUNNYCASA
JCN038,"CREALITY 3D TECHNOLOGY CO.,LTD"
JCN039,"YIWU YIHUI CLOTHING CO., LTD."
JCN040,FADE.MEET
JCN041,LALUNEDUCIEL.COM 
JCN042,LOWPROKB
JCN043,NINJUTSO
JCN044,VELPEAU
JCN045,RADIOMASTER
JCN046,MONTI
JCN047,FIRMOO
JCN048,SUKIKIDSSHOP.COM
JCN049,PANDILAND
JCN050,TTMART
JCN051,ADOR
JCN052,MINIINTHEBOX
JCN053,LIGHTINTHEBOX
JCN054,OUKU
JCN055,PCBX.COM
JCN056,TIMEKETTLE.CO
JCN057,SUNSKY
JCN058,JOBDII.JP
JCN059,JEWELRYANDFINDINGS.COM
JCN060,HUALIAN
JCN061,AKINODIY.COM
JCN062,TZKILLER.COM
JCN063,T238
JCN064,SHIPPING
JCN065,BEBEMEMO
JCY001,KAYRA EXPORT
JCY002,DETA ELIS CYPRUS
JCZ001,PRUSA RESEARCH A.S.
JCZ002,D5T5.COM
JDE001,MODELLBAHNSHOP
JDE002,HHV
JDE003,BREITKOPF HARTEL
JDE004,FC BAYERN MUENCHEN
JDE005,FRAKONNEX
JDE006,CANYON BICYCLES GMBH
JDE008,THOMANN GMBH
JDE009,ADIDAS AG
JDE010,EKUKO'S WINE SHOP
JDE011,KAWAII GLOBAL GMBH
JDE012,FITLINE
JDE013,ONER ACTIVE AUSTRIA GMBH
JDE014,NAIN TRADING GMBH
JDE015,TENNIS WAREHOUSE
JDE016,DISTEL BIO+
JDK001,AV86
JDK002,CECILIE BAHNSEN
JDK003,DAILY WATCH APS
JDK004,HELIOT EMIL
JDK005,NORDGREEN
JDK006,ANOTHER ASPECT
JDK007,MFPEN APS
JDK008,PAS NORMAL STUDIOS APS
JDK009,PHASE ONE A/S
JDK010,ROKOKO ELECTRONICS APS
JDK011,TEKLA
JDK012,TRACKMAN
JDK013,VEO
JDK014,FERM LIVING
JDK015,SCHMIEDMANN
JDK016,THE COFFEE COLLECTIVE A/S
